brand,model,processor_brand,processor_name,processor_gnrtn,ram_GB,ram_type,ssd,hdd,os,os_bit,graphic_card_GB,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,Missing,0,No,No,779.87,1217.97,35.97%,3.9,44,6
Lenovo,Yoga,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,1143.87,1636.57,30.11%,4.7,28,6
Lenovo,Thinkbook,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,3,Yes,Yes,896.87,2069.34,56.66%,4.6,44,8
Lenovo,Missing,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,16,1,No,Yes,1013.87,1044.76,2.96%,4.3,17,2
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,909.87,1363.57,33.27%,4.6,10,2
Lenovo,ThinkPad,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,3,No,No,1911.00,0.00,0.00%,0,0,0
Lenovo,Ideapad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,727.87,850.69,14.44%,4.2,75,9
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,16,1,No,Yes,922.87,1472.77,37.34%,4.6,11,3
Lenovo,ThinkPad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,844.87,1007.33,16.13%,4.4,125,11
Lenovo,Yoga,Intel,Core i5,10th,8 GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,No,Yes,920.37,1314.17,29.97%,4,21,3
Lenovo,Legion,Intel,Core i5,9th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,Missing,0,No,No,779.87,1104.87,29.42%,3.8,9,1
Lenovo,Ideapad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,2,No,Yes,818.97,1038.57,21.14%,4.3,739,71
Lenovo,X390,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,1476.67,1560.00,5.34%,0,0,0
Lenovo,ThinkPad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,883.87,999.90,11.60%,4.8,9,0
Lenovo,ThinkPad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,857.87,986.43,13.03%,4.1,31,2
Lenovo,IdeaPad,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,Missing,2,No,Yes,766.99,857.99,10.61%,4.4,45,3
Lenovo,Thinpad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,0,No,No,1169.97,1319.83,11.35%,0,0,0
Lenovo,IdeaPad,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,Missing,0,No,No,908.69,960.69,5.41%,4.3,474,37
Lenovo,Ideapad,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,727.99,1169.99,37.78%,0,0,0
